"Countries","id"
"Austria",040
"Belgium",056
"Bulgaria",100
"Cyprus",196
"Czech Republic",203
"Germany",276
"Denmark",208
"Estonia",233
"Greece",300
"Spain",724
"Finland",246
"France",250
"Hungary",348
"Ireland",372
"Italy",380
"Lithuania",440
"Luxembourg",442
"Latvia",428
"Malta",470
"Netherlands",528
"Poland",616
"Portugal",620
"Romania",642
"Sweden",752
"Slovenia",705
"Slovakia",703
"UK",826
"Turkey",792
"Croatia",191
"Macedonia",807
"Kosovo",-99
"Serbia",688
"Montenegro",499
"Iceland",352
"Norway",578
